iter	RMSE
0	99984.21257
1	88917.98028
2	82507.86196
3	77189.22014
4	72824.65849
5	69795.27832
6	68039.93474
7	65406.01059
8	63390.71671
9	62523.17576
10	61443.63975
11	60768.8885
12	60168.22478
13	59088.01918
14	58442.70028
15	57786.02602
16	57103.44471
17	56563.04973
18	56275.2199
19	55949.54171
20	55344.49568
21	54960.00547
22	54564.28377
23	53981.0758
24	53541.42959
25	53129.95382
26	52705.89801
27	52406.16957
28	52078.31649
29	51849.58597
30	51666.43045
31	51412.37418
32	51199.46726
33	51037.12598
34	50868.89181
35	50686.56606
36	50493.99295
37	50281.8753
38	50107.75523
39	49983.42947
40	49523.16043
41	49331.22705
42	49086.97259
43	48909.24435
44	48795.85873
45	48686.2134
46	48476.03185
47	48363.24662
48	48259.27748
49	48051.27893
50	47848.41398
51	47721.84988
52	47537.69059
53	47383.96995
54	47187.86984
55	47031.77806
56	46950.40769
57	46766.82949
58	46622.2744
59	46470.47833
60	46367.3757
61	46247.55851
62	46139.62689
63	46033.61562
64	45938.96178
65	45805.73858
66	45772.34253
67	45696.22514
68	45595.8114
69	45450.1279
70	45285.85353
71	45216.7456
72	45135.06752
73	45027.74648
74	44921.80351
75	44810.00546
76	44707.4919
77	44641.26746
78	44545.30888
79	44458.29157
80	44415.2194
81	44336.82861
82	44257.56383
83	44120.14553
84	44021.871
85	43923.11489
86	43823.83016
87	43731.26599
88	43648.29564
89	43574.37104
90	43537.73055
91	43452.48987
92	43369.70149
93	43314.74332
94	43243.01404
95	43197.2224
96	43073.00538
97	42963.51532
98	42830.45893
99	42743.45791
100	42658.79318
101	42602.7013
102	42548.52624
103	42474.88691
104	42386.38049
105	42302.81399
106	42244.40599
107	42183.22747
108	42115.11383
109	42036.11684
110	41957.77446
111	41906.19323
112	41770.76154
113	41694.77807
114	41639.76396
115	41580.85303
116	41527.46228
117	41458.5107
118	41401.56927
119	41334.16057
120	41266.20758
121	41225.61827
122	41114.92209
123	41034.89612
124	40995.56094
125	40953.38666
126	40909.52454
127	40858.86921
128	40807.7842
129	40774.01456
130	40694.95301
131	40642.2065
132	40583.89525
133	40530.66372
134	40489.17785
135	40453.36749
136	40406.00615
137	40353.10148
138	40308.93242
139	40231.36836
140	40187.01872
141	40108.06113
142	40055.93455
143	40004.46669
144	39941.34301
145	39890.00121
146	39835.14703
147	39804.98153
148	39752.24828
149	39727.40059
150	39677.52815
151	39640.88545
152	39595.56814
153	39548.61582
154	39496.68543
155	39437.49574
156	39417.63164
157	39371.95041
158	39330.40276
159	39278.75074
160	39237.54834
161	39176.9099
162	39114.77975
163	39059.95557
164	39014.53593
165	38952.65293
166	38906.55
167	38851.71074
168	38793.05842
169	38750.82108
170	38707.33044
171	38677.97545
172	38631.89748
173	38550.4284
174	38503.67908
175	38461.98187
176	38401.80625
177	38350.5222
178	38297.0783
179	38253.79001
180	38219.0831
181	38156.64852
182	38113.07654
183	38068.5042
184	38025.16096
185	37960.49968
186	37899.90253
187	37862.52052
188	37847.35868
189	37794.85339
190	37737.03835
191	37699.21262
192	37636.59568
193	37594.85347
194	37551.63082
195	37521.39298
196	37482.45464
197	37454.05049
198	37398.0835
199	37363.81307
