iter	Passed	Remaining
0	6	1220
1	10	1025
2	17	1141
3	21	1067
4	25	983
5	29	954
6	34	944
7	38	913
8	41	877
9	46	891
10	51	881
11	54	860
12	57	833
13	62	832
14	68	847
15	72	838
16	78	848
17	83	839
18	89	852
19	92	836
20	96	822
21	102	825
22	104	806
23	108	792
24	112	785
25	117	784
26	121	776
27	125	769
28	129	763
29	133	757
30	137	752
31	142	746
32	147	744
33	151	739
34	155	731
35	159	724
36	163	722
37	167	713
38	170	705
39	174	699
40	179	696
41	184	694
42	188	686
43	191	680
44	195	674
45	199	666
46	202	659
47	205	652
48	210	647
49	214	642
50	218	637
51	222	632
52	227	629
53	230	624
54	235	620
55	240	619
56	248	623
57	254	622
58	261	625
59	267	624
60	275	627
61	283	629
62	291	634
63	296	630
64	301	627
65	310	631
66	315	626
67	320	622
68	327	621
69	338	629
70	347	632
71	358	636
72	366	637
73	375	638
74	382	637
75	394	643
76	405	648
77	415	649
78	424	650
79	431	647
80	438	643
81	443	638
82	450	634
83	456	629
84	461	624
85	465	616
86	470	611
87	474	604
88	479	597
89	482	589
90	487	584
91	491	577
92	494	569
93	497	561
94	503	555
95	506	548
96	510	542
97	514	535
98	519	530
99	523	523
100	526	516
101	529	508
102	535	503
103	539	497
104	544	492
105	548	486
106	553	481
107	557	474
108	561	468
109	565	463
110	570	457
111	575	452
112	579	446
113	586	442
114	591	437
115	595	431
116	601	426
117	605	420
118	608	414
119	611	407
120	616	402
121	620	396
122	624	390
123	629	385
124	635	381
125	642	377
126	652	374
127	656	369
128	660	363
129	666	358
130	670	353
131	674	347
132	679	342
133	685	337
134	689	331
135	693	326
136	699	321
137	704	316
138	708	310
139	717	307
140	721	302
141	727	296
142	735	293
143	739	287
144	745	282
145	751	277
146	754	272
147	759	266
148	765	261
149	768	256
150	772	250
151	776	245
152	782	240
153	786	234
154	790	229
155	797	224
156	801	219
157	804	213
158	811	209
159	815	203
160	819	198
161	822	192
162	829	188
163	833	182
164	838	177
165	845	173
166	849	167
167	852	162
168	855	157
169	862	152
170	866	146
171	869	141
172	873	136
173	880	131
174	884	126
175	888	121
176	895	116
177	899	111
178	902	105
179	910	101
180	915	96
181	920	91
182	929	86
183	937	81
184	946	76
185	1002	75
186	1016	70
187	1041	66
188	1046	60
189	1051	55
190	1069	50
191	1077	44
192	1081	39
193	1086	33
194	1092	28
195	1096	22
196	1100	16
197	1104	11
198	1110	5
199	1118	0
